City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Albany,US,2022-07-19 03:00:11,42.6001,-73.9662,73.81,91,100,8.9
60,Alice Springs,AU,2022-07-19 03:00:12,-23.7,133.8833,69.35,24,0,8.05
61,Zavodoukovsk,RU,2022-07-19 03:01:42,56.5042,66.5515,66.99,68,0,1.88
62,Krasnoselkup,RU,2022-07-19 03:01:42,65.7,82.4667,60.69,62,66,15.46
63,Tuktoyaktuk,CA,2022-07-19 03:01:43,69.4541,-133.0374,49.3,90,100,6.91
64,Elko,US,2022-07-19 03:01:43,41.0002,-115.5012,78.22,42,84,13.0
65,San Patricio,US,2022-07-19 03:01:44,28.017,-97.5169,84.88,76,11,12.28
66,Lata,PT,2022-07-19 03:01:44,40.1629,-8.3327,59.94,95,51,0.67
67,Kattivakkam,IN,2022-07-19 03:01:45,13.2167,80.3167,85.06,77,100,8.63
68,Varca,IN,2022-07-19 03:01:46,15.2167,73.9167,80.2,81,99,7.74
69,Taoudenni,ML,2022-07-19 03:01:46,22.6783,-3.9836,92.93,10,3,4.45
70,Avarua,CK,2022-07-19 03:01:46,-21.2078,-159.775,77.05,65,40,8.05
71,Port Hardy,CA,2022-07-19 03:01:32,50.6996,-127.4199,56.68,90,100,3.89
72,Sao Filipe,CV,2022-07-19 03:01:48,14.8961,-24.4956,75.22,82,95,8.28
73,Nome,US,2022-07-19 02:57:18,64.5011,-165.4064,39.27,93,100,21.85
74,Tura,IN,2022-07-19 03:01:48,25.5198,90.2201,79.79,85,100,7.23
75,Bredasdorp,ZA,2022-07-19 03:01:49,-34.5322,20.0403,53.73,86,98,2.75
76,Yar-Sale,RU,2022-07-19 03:01:50,66.8333,70.8333,61.61,53,100,9.22
77,Geraldton,AU,2022-07-19 03:01:50,-28.7667,114.6,63.01,77,0,9.22
78,Knokke-Heist,BE,2022-07-19 03:01:51,51.3333,3.3333,73.42,53,26,8.84
79,Brae,GB,2022-07-19 03:01:51,60.3964,-1.353,56.14,94,100,10.71
80,Bethel,US,2022-07-19 03:00:50,41.3712,-73.414,74.53,93,100,7.72
81,Tonantins,BR,2022-07-19 03:01:52,-2.8731,-67.8022,73.54,98,59,1.81
82,Guerrero Negro,MX,2022-07-19 03:01:53,27.9769,-114.0611,71.08,72,31,16.46
