City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kendari,ID,-3.945,122.4989,83.66,62,37,3.65,scattered clouds
80,Provideniya,RU,64.3833,-173.3,46.51,100,100,7.0,overcast clouds
81,Barcelona,ES,41.3888,2.159,78.75,83,75,2.3,broken clouds
82,Narsaq,GL,60.9167,-46.05,50.22,85,9,4.41,clear sky
83,Santa Clarita,US,34.3917,-118.5426,99.05,29,0,8.05,clear sky
84,Vuktyl,RU,63.8567,57.3094,59.27,63,96,3.56,overcast clouds
85,Bull Savanna,JM,17.8868,-77.5902,77.05,84,70,4.99,light rain
86,Falkenberg,SE,56.9055,12.4912,57.27,90,32,6.87,scattered clouds
87,Airai,TL,-8.9266,125.4092,65.01,53,21,5.21,few clouds
88,Dunedin,NZ,-45.8742,170.5036,46.8,87,100,10.0,overcast clouds
89,Bauchi,NG,10.5,10.0,71.06,91,100,3.69,overcast clouds
90,Mao,ES,39.8885,4.2658,73.96,73,0,0.0,clear sky
91,Verkhnevilyuysk,RU,63.4453,120.3167,83.12,47,28,6.35,scattered clouds
92,Pacific Grove,US,36.6177,-121.9166,74.21,82,75,8.05,broken clouds
93,Manzanillo,CU,20.3433,-77.1167,78.1,82,6,13.06,clear sky
94,Dikson,RU,73.5069,80.5464,40.86,94,97,12.44,overcast clouds
95,Linden,GY,6.0,-58.3,74.28,98,100,2.75,heavy intensity rain
96,Aasiaat,GL,68.7098,-52.8699,34.56,98,85,4.65,overcast clouds
97,Uryupinsk,RU,50.8047,42.0138,65.61,78,17,2.71,few clouds
98,Joshimath,IN,30.5667,79.5667,71.67,89,99,0.36,overcast clouds
99,Bay Roberts,CA,47.5999,-53.2648,64.33,92,11,5.99,few clouds
100,Hit,IQ,33.6416,42.8251,88.84,14,0,8.34,clear sky
101,Dukat,RU,62.55,155.55,57.2,39,81,7.11,broken clouds
102,Rocha,UY,-34.4833,-54.3333,64.08,93,100,8.3,moderate rain
103,Vanavara,RU,60.34,102.2797,65.23,71,100,2.48,overcast clouds
104,Chumikan,RU,54.7183,135.315,70.43,64,0,6.4,clear sky
105,Tiksi,RU,71.6872,128.8694,68.52,58,73,6.49,broken clouds
106,Pecos,US,31.4229,-103.4932,97.63,35,40,6.91,scattered clouds
107,Geraldton,AU,-28.7667,114.6,61.21,72,40,10.36,scattered clouds
108,Zabaykalsk,RU,49.6333,117.3167,70.7,59,9,7.34,clear sky
109,Pucara,PE,-15.9803,-71.4606,32.13,43,1,1.34,clear sky
110,Sovetskiy,RU,61.3614,63.5842,62.1,57,0,3.22,clear sky
111,Georgetown,MY,5.4112,100.3354,82.33,85,20,5.75,few clouds
112,Nhulunbuy,AU,-12.2333,136.7667,79.41,65,40,20.71,scattered clouds
113,Jijiga,ET,9.35,42.8,61.0,67,26,15.93,scattered clouds
114,Pangkalanbuun,ID,-2.6833,111.6167,80.6,82,93,3.13,overcast clouds
115,Punta Arenas,CL,-53.15,-70.9167,41.11,70,20,32.21,few clouds
116,Saint-Francois,FR,46.4154,3.9054,54.84,82,0,1.14,clear sky
117,Chippewa Falls,US,44.9369,-91.3929,77.18,49,0,10.36,clear sky
118,Nuuk,GL,64.1835,-51.7216,41.61,93,75,6.91,broken clouds
119,Portland,US,45.5234,-122.6762,98.91,40,20,10.36,few clouds
120,Hami,CN,42.8,93.45,89.65,10,0,11.05,clear sky
121,Viedma,AR,-40.8135,-62.9967,45.54,84,67,10.22,broken clouds
122,Lixourion,GR,38.2019,20.4314,78.96,67,6,4.09,clear sky
123,Pingzhuang,CN,42.0372,119.2889,67.15,86,100,4.38,light rain
124,Berlevag,NO,70.8578,29.0864,51.6,93,75,23.02,drizzle
125,Arteaga,MX,18.4667,-102.4167,65.52,98,100,2.8,overcast clouds
126,Carnarvon,AU,-24.8667,113.6333,73.49,44,100,4.23,overcast clouds
127,Abonnema,NG,4.7084,6.7931,73.27,96,100,6.26,moderate rain
128,Kavieng,PG,-2.5744,150.7967,84.85,70,17,18.25,light rain
129,Harper,LR,4.375,-7.7169,75.22,75,99,11.45,overcast clouds
130,Kaitangata,NZ,-46.2817,169.8464,44.98,94,100,7.31,overcast clouds
131,Richards Bay,ZA,-28.783,32.0377,64.63,87,87,5.84,overcast clouds
132,San Andres,CO,12.5847,-81.7006,82.42,78,75,9.22,broken clouds
133,Ambilobe,MG,-13.2,49.05,63.19,91,6,3.15,clear sky
134,Lagos,NG,6.5833,3.75,74.57,93,95,7.92,light rain
135,Adrar,MR,20.5022,-10.0711,96.31,10,0,9.28,clear sky
136,Jalu,LY,29.0331,21.5482,79.86,52,0,7.16,clear sky
137,Estelle,US,29.8458,-90.1067,86.0,73,75,4.61,broken clouds
138,Bhakkar,PK,31.6253,71.0657,90.43,62,100,6.51,overcast clouds
139,Esperance,AU,-33.8667,121.9,60.03,53,0,17.87,clear sky
140,Naze,JP,28.3667,129.4833,83.32,81,81,15.79,broken clouds
141,Taree,AU,-31.9,152.4667,62.06,48,0,5.23,clear sky
142,Baykit,RU,61.67,96.37,66.94,87,100,2.8,overcast clouds
143,Atuona,PF,-9.8,-139.0333,76.87,75,31,22.86,light rain
144,Sheridan,US,44.8333,-106.9173,80.98,38,0,12.66,clear sky
145,Aban,RU,56.67,96.06,62.87,65,100,5.95,overcast clouds
146,Port Blair,IN,11.6667,92.75,82.44,83,75,2.3,broken clouds
147,Yumen,CN,40.2833,97.2,86.58,15,88,11.97,overcast clouds
148,Mbale,UG,1.0821,34.175,63.37,91,71,4.41,light rain
149,Khatanga,RU,71.9667,102.5,69.69,48,88,2.48,overcast clouds
150,Qaanaaq,GL,77.484,-69.3632,37.69,90,41,2.46,scattered clouds
151,Fortuna,US,40.5982,-124.1573,66.92,78,0,14.97,clear sky
152,Mitsamiouli,KM,-11.3847,43.2844,75.54,70,37,5.73,scattered clouds
153,Westport,US,41.1415,-73.3579,77.43,82,0,5.99,clear sky
154,East Wenatchee Bench,US,47.4257,-120.2812,106.18,19,0,5.75,clear sky
155,Kampot,KH,10.6167,104.1833,82.45,71,43,0.81,scattered clouds
156,Mombetsu,JP,44.3525,143.3525,66.22,100,75,11.5,mist
